FID,OBJECTID,arcid,grid_code,from_node,to_node,Shape_Leng,local,downarc,SELEV,EELEV,MAXGRID,uparc,dz,slope,meanmsq,segorder,chanclass,hyddepth,hydwidth,effwidth,effdepth,MIN_SOILDE,segdepth,CHIN,Chin_Use,COHO,Coho_Use,STHD,Sthd_Use,PINK,Pink_Use,LMB,WAC173201A
22,23,23,35,35,36,225,53,30,545.4990234,540.3519897,52,-1,5.1468,0.0228747,585000,1,7,0.5,0.05,0.1,1.66485,1.752476573,1.75248,0,0,0,0,0,0,0,0,0,3
23,24,24,25,24,36,1037.132034,63,30,682.8430176,540.3519897,50,-1,142.4909973,0.137389,697500,1,13,0.5,0.1,0.2,1.39889,1.617883801,1.47252,0,0,0,0,0,0,0,0,0,3
24,25,25,18,37,16,2250,14,12,10.2273998,10.2273998,73344,79,0,0.00001,1650400000,84,6,4.5,0.03,0.21,2.6670599,2.899140835,2.80744,1,2,1,2,1,2,1,1,1,1
25,26,26,27,38,29,1660.660172,120,29,177.3589935,126.9779968,731,41,50.3813019,0.0303381,17797500,4,9,2,0.05,0.2,1.85934,1.991561532,1.9572001,0,0,1,1,0,0,0,0,0,2
26,27,27,30,42,27,1847.056275,134,19,10.2273998,10.2273998,3601,36,0,0.00001,82530000,14,6,4.5,0.03,0.21,2.3079901,2.42946291,2.42946,1,2,1,2,1,2,1,1,1,2
27,28,28,4,4,43,5688.046533,231,71,333.8640137,117.0149994,44,-1,216.8480072,0.0381235,2587500,1,8,1,0.05,0.15,1.71313,1.803293347,1.80329,0,0,1,1,0,0,0,0,0,2
28,29,29,31,29,43,1722.792206,189,71,126.9779968,117.0149994,946,26,9.9629002,0.005783,23400000,5,10,3,0.05,0.25,1.66554,1.753195524,1.7532001,0,0,1,1,0,0,0,0,0,2
29,30,30,36,36,46,1024.264069,24,57,540.3519897,473.9349976,115,24,66.4167023,0.0648433,2857500,2,8,1,0.05,0.15,1.5312901,1.738471031,1.6118799,0,0,0,0,0,0,0,0,0,3
30,31,31,42,40,46,318.1980515,56,57,483.7149963,473.9349976,4,-1,9.7800999,0.0307359,630000,1,7,0.5,0.05,0.1,1.77861,1.872223377,1.87222,0,0,0,0,0,0,0,0,0,3
31,32,32,38,47,37,737.1320344,97,25,10.2273998,10.2273998,38,-1,0,0.00001,1080000,1,2,1,0.03,0.09,2.56338,2.80903244,2.6982999,1,1,1,2,1,1,1,1,1,1
32,33,33,49,48,42,1037.132034,56,27,198.3269958,10.2273998,42,-1,188.098999,0.181365,630000,1,13,0.5,0.1,0.2,1.49791,1.958221078,1.57675,1,1,1,2,1,1,0,0,1,2
33,34,34,40,51,38,1130.330086,86,26,177.8840027,177.3589935,44,-1,0.5244,0.0004639,967500,1,1,0.5,0.03,0.06,1.78474,1.878673792,1.87867,0,0,0,0,0,0,0,0,0,2
34,35,35,29,53,27,2025,102,19,10.2273998,10.2273998,44,-1,0,0.00001,1147500,1,2,1,0.03,0.09,2.5324399,2.665725708,2.66573,1,1,1,2,1,1,1,1,0,2
35,36,36,48,54,42,936.3961031,51,27,12.7192001,10.2273998,3518,39,2.4918201,0.0026611,79717504,13,12,4.5,0.05,0.35,2.3079901,2.42946291,2.42946,1,1,1,2,1,2,1,1,1,2
36,37,37,51,50,55,1042.46212,84,88,128.5379944,111.5759964,53,-1,16.9615993,0.0162707,945000,1,7,0.5,0.05,0.1,2.01437,2.120386839,2.1203899,0,0,1,1,0,0,0,0,0,1
37,38,38,41,39,55,1249.264069,81,88,126.4869995,111.5759964,50,-1,14.9110003,0.0119358,900000,1,7,0.5,0.05,0.1,2.0027201,2.10812974,2.10813,0,0,1,1,0,0,0,0,0,1
38,39,39,55,56,54,212.1320344,8,36,12.7192001,12.7192001,3410,73,0,0.00001,76815000,12,6,4.5,0.03,0.21,2.50565,2.637521744,2.6375201,1,1,1,2,1,2,1,1,1,2
39,40,40,45,44,57,1986.396103,143,-1,823.4279785,726.1829834,41,-1,97.245903,0.0489559,1597500,1,8,1,0.05,0.15,1.49335,1.571945786,1.57195,0,0,0,0,0,0,0,0,0,3
40,41,41,37,58,38,2110.660172,97,26,248.9329987,177.3589935,548,54,71.5733032,0.0339104,13410000,3,9,2,0.05,0.2,1.76938,1.881895781,1.8625,0,0,1,1,0,0,0,0,0,2
41,42,42,32,30,58,4539.518395,191,41,594.7869873,248.9329987,9,-1,345.8540039,0.0761873,2137500,1,8,1,0.05,0.15,1.51952,1.620636463,1.59949,0,0,0,0,0,0,0,0,0,2
42,43,43,43,41,61,1425,85,47,942.7219849,560.1539917,56,-1,382.5679932,0.268469,945000,1,13,0.5,0.1,0.2,1.16618,1.227562785,1.22756,0,0,0,0,0,0,0,0,0,3
43,44,44,54,63,54,954.5941546,84,36,12.7192001,12.7192001,4,-1,0,0.00001,945000,1,1,0.5,0.03,0.06,2.5989599,2.783578873,2.7357399,1,1,1,2,1,1,0,0,1,2
44,45,45,24,23,64,3297.792206,194,70,257.4240112,135.6459961,50,-1,121.7779999,0.036927,2182500,1,8,1,0.05,0.15,1.81833,1.914026618,1.91403,0,0,1,1,0,0,0,0,0,2
45,46,46,20,17,64,4883.452378,148,70,299.7990112,135.6459961,148,13,164.1529999,0.0336141,4995000,2,8,1,0.05,0.15,1.76565,1.891501188,1.85858,0,0,0,0,0,0,0,0,0,2
46,47,47,61,61,65,662.1320344,47,58,560.1539917,560.1539917,1075,48,0,0.00001,24705000,7,4,3,0.03,0.15,1.69276,1.89275372,1.78185,0,0,0,0,0,0,0,0,0,3
47,48,48,62,66,61,962.1320344,98,47,578.3690186,560.1539917,892,50,18.2143993,0.0189313,21172500,6,10,3,0.05,0.25,1.37717,1.449651718,1.44965,0,0,0,0,0,0,0,0,0,3
48,49,49,59,60,66,437.1320344,53,48,612.1680298,578.3690186,45,-1,33.799099,0.0773201,585000,1,7,0.5,0.05,0.1,1.39803,1.471608639,1.47161,0,0,0,0,0,0,0,0,0,3
49,50,50,67,67,66,750,44,48,599.992981,578.3690186,795,52,21.625,0.0288333,18382500,5,9,2,0.05,0.2,1.39803,1.471608639,1.47161,0,0,0,0,0,0,0,0,0,3
50,51,51,52,52,67,1223.528137,101,50,931.3499756,599.992981,71,-1,331.3569946,0.27082,1125000,1,14,1,0.1,0.3,1.14547,1.205762148,1.20576,0,0,0,0,0,0,0,0,0,3
51,52,52,68,68,67,424.2640687,59,50,608.4899902,599.992981,643,59,8.4968996,0.0200274,15120000,4,9,2,0.05,0.2,1.65968,1.747030616,1.74703,0,0,0,0,0,0,0,0,0,3
52,53,53,63,62,68,1492.46212,84,52,1048,608.4899902,1,-1,439.5119934,0.294488,945000,1,13,0.5,0.1,0.2,1.21457,1.278491259,1.2784899,0,0,0,0,0,0,0,0,0,3
53,54,54,60,71,58,1298.528137,66,41,269.6650085,248.9329987,287,62,20.7318001,0.0159656,7200000,2,8,1,0.05,0.15,1.79843,1.893085003,1.89309,0,0,0,0,0,0,0,0,0,2
54,55,55,58,59,71,2578.858223,147,54,434.1910095,269.6650085,1,-1,164.526001,0.0637981,1642500,1,8,1,0.05,0.15,1.60226,1.686586618,1.68659,0,0,0,0,0,0,0,0,0,2
55,56,56,73,73,72,300,3,65,441.1419983,441.1419983,2405,66,0,0.00001,54135000,12,6,4.5,0.03,0.21,1.7381999,1.829679728,1.82968,0,0,0,0,0,0,0,0,0,3
56,57,57,47,46,73,2410.660172,186,56,473.9349976,441.1419983,195,30,32.7927017,0.0136032,6480000,3,8,1,0.05,0.15,1.6552,1.764585495,1.7423199,0,0,0,0,0,0,0,0,0,3
57,58,58,65,65,74,1598.528137,134,68,560.1539917,492.8039856,1200,47,67.3504028,0.0421328,28507500,8,10,3,0.05,0.25,1.40084,1.474566579,1.47457,0,0,0,0,0,0,0,0,0,3
58,59,59,69,75,68,362.1320344,20,52,626.9769897,608.4899902,536,99,18.4862003,0.0510482,12285000,3,9,2,0.05,0.2,1.63825,1.724474669,1.72447,0,0,0,0,0,0,0,0,0,3
59,60,60,56,76,56,1275,53,39,19.0466995,12.7192001,44,-1,6.3274999,0.0049627,585000,1,7,0.5,0.05,0.1,2.07321,2.182322979,2.1823201,1,1,1,2,1,1,0,0,1,2
60,61,61,23,22,77,4296.320344,240,74,273.1040039,17.1739006,46,-1,255.9299927,0.0595696,2700000,1,8,1,0.05,0.15,1.79187,1.886182904,1.88618,0,0,1,3,0,0,0,0,0,2
61,62,62,71,69,71,2123.528137,141,54,407.1369934,269.6650085,65,-1,137.4730072,0.0647379,1575000,1,8,1,0.05,0.15,1.62045,1.839302421,1.70574,0,0,0,0,0,0,0,0,0,2
62,63,63,28,28,80,3773.528137,197,78,945.8250122,396.4179993,52,-1,549.40802,0.145595,2205000,1,14,1,0.1,0.3,1.35797,1.429436922,1.42944,0,0,0,0,0,0,0,0,0,3
63,64,64,50,49,80,2123.528137,104,78,547.6140137,396.4179993,50,-1,151.1970062,0.0712007,1170000,1,8,1,0.05,0.15,1.5103199,1.669423819,1.58981,0,0,0,0,0,0,0,0,0,3
64,65,65,72,72,80,962.1320344,46,78,441.1419983,396.4179993,2516,56,44.7249985,0.0464853,57127500,13,12,4.5,0.05,0.35,1.55854,1.640569448,1.64057,0,0,0,0,0,0,0,0,0,3
65,66,66,74,81,73,1712.132034,75,56,458.5069885,441.1419983,1951,67,17.3644009,0.010142,44730000,11,12,4.5,0.05,0.35,1.7709301,1.864133358,1.86413,0,0,0,0,0,0,0,0,0,3
66,67,67,81,82,81,1050,92,66,486.9890137,458.5069885,1673,68,28.4818001,0.0271255,38677500,10,11,4,0.05,0.3,1.64148,1.727877378,1.72788,0,0,0,0,0,0,0,0,0,3
67,68,68,75,74,82,212.1320344,25,67,492.8039856,486.9890137,1515,58,5.8150001,0.0274122,34357500,9,11,4,0.05,0.3,1.64148,1.727877378,1.72788,0,0,0,0,0,0,0,0,0,3
68,69,69,66,83,65,1425,78,58,851.5750122,560.1539917,3,-1,291.42099,0.204506,877500,1,13,0.5,0.1,0.2,1.24643,1.312030196,1.31203,0,0,0,0,0,0,0,0,0,3
69,70,70,64,64,77,2172.792206,89,74,135.6459961,17.1739006,490,46,118.4720001,0.0545253,12015000,3,9,2,0.05,0.2,1.89168,1.991239905,1.99124,0,0,1,3,0,0,0,0,0,2
70,71,71,44,43,84,2684.92424,189,76,117.0149994,92.3531036,1366,29,24.6622009,0.0091854,32850000,6,11,4,0.05,0.3,1.62546,1.711006522,1.71101,0,0,1,3,1,3,0,0,0,2
71,72,72,80,87,72,437.1320344,108,65,455.8599854,441.1419983,83,-1,14.7174997,0.0336683,1215000,1,8,1,0.05,0.15,1.31442,1.383598328,1.3836,0,0,0,0,0,0,0,0,0,3
72,73,73,57,88,56,2172.792206,127,39,12.7575998,12.7192001,3222,80,0.03835,0.0000177,73912496,11,6,4.5,0.03,0.21,2.02736,2.13406682,2.1340699,1,1,1,2,1,2,1,1,1,2
73,74,74,76,77,88,1174.264069,104,73,17.1739006,12.7575998,819,70,4.4163098,0.0037609,19597500,4,9,2,0.05,0.2,2.03456,2.141638756,2.1416399,0,0,1,3,0,0,0,0,1,2
74,75,75,70,70,89,587.1320344,61,83,118.6449966,79.8404999,52,-1,38.8042984,0.0660913,675000,1,7,0.5,0.05,0.1,1.89158,2.007919073,1.99113,1,1,1,3,1,3,0,0,0,2
75,76,76,85,84,89,812.1320344,40,83,92.3531036,79.8404999,1688,71,12.5125999,0.0154071,38430000,7,11,4,0.05,0.3,1.89518,1.9949224,1.99492,0,0,1,3,1,3,0,0,0,2
76,77,77,87,86,90,225,46,85,393.79599,379.269989,45,-1,14.5258999,0.0645596,517500,1,7,0.5,0.05,0.1,1.66488,1.822433949,1.75251,0,0,0,0,0,0,0,0,0,3
77,78,78,79,80,90,874.2640687,88,85,396.4179993,379.269989,2863,65,17.1476002,0.0196138,65407500,14,12,4.5,0.05,0.35,1.64905,1.73584187,1.73584,0,0,0,0,0,0,0,0,0,3
78,79,79,39,92,37,3522.792206,185,25,12.9685001,10.2273998,73072,89,2.7411001,0.0007781,1646189952,83,6,4.5,0.03,0.21,2.2597101,2.522230625,2.37865,1,2,1,2,1,2,1,1,1,1
79,80,80,90,93,88,450,2,73,17.3862,12.7575998,2296,92,4.6286001,0.0102858,51682500,10,12,4.5,0.05,0.35,2.04088,2.148289919,2.1482899,1,1,1,3,1,3,1,1,1,2
80,81,81,86,85,95,587.1320344,66,119,677.59198,639.6829834,47,-1,37.9093018,0.0645669,742500,1,7,0.5,0.05,0.1,1.63787,1.724069715,1.72407,0,0,0,0,0,0,0,0,0,3
81,82,82,78,79,95,1104.594155,117,119,697.4459839,639.6829834,11,-1,57.7626991,0.0522931,1305000,1,8,1,0.05,0.15,1.60265,1.687005281,1.68701,0,0,0,0,0,0,0,0,0,3
82,83,83,91,89,96,936.3961031,47,92,79.8404999,70.9228973,1789,76,8.9176302,0.0095233,40770000,8,12,4.5,0.05,0.35,1.8336,1.930100083,1.9301,1,1,1,3,1,3,0,0,1,2
83,84,84,46,45,97,3903.122292,150,110,920.2600098,376.9559937,37,-1,543.3040161,0.139197,1687500,1,14,1,0.1,0.3,1.34654,1.420218229,1.41741,0,0,0,0,0,0,0,0,0,3
84,85,85,93,90,97,786.3961031,62,110,379.269989,376.9559937,2997,78,2.3136001,0.002942,68130000,15,12,4.5,0.05,0.35,1.64061,1.726957083,1.7269599,0,0,0,0,0,0,0,0,0,3
85,86,86,88,98,81,750,21,66,548.585022,458.5069885,161,112,90.0782013,0.120104,3847500,2,14,1,0.1,0.3,1.45198,1.528398037,1.5283999,0,0,0,0,0,0,0,0,0,3
86,87,87,101,99,100,825,53,89,31.2231007,12.9685001,47,-1,18.2546005,0.0221268,585000,1,7,0.5,0.05,0.1,1.90583,2.008616924,2.00614,1,1,1,2,1,1,0,0,0,1
87,88,88,53,55,100,3497.056275,125,89,111.5759964,12.9685001,164,37,98.6080017,0.0281974,5085000,2,8,1,0.05,0.15,1.90995,2.023723602,2.0104799,0,0,1,3,1,1,0,0,0,1
88,89,89,97,100,92,362.1320344,26,79,12.9685001,12.9685001,72611,100,0,0.00001,1634040064,82,6,4.5,0.03,0.21,2.52193,2.786281586,2.65466,1,2,1,2,1,2,1,1,1,1
89,90,90,92,101,84,998.5281374,19,76,148.8379974,92.3531036,117,93,56.4846992,0.0565679,2835000,2,8,1,0.05,0.15,1.91167,2.012288094,2.01229,0,0,0,0,0,0,0,0,0,2
90,91,91,95,94,101,830.3300859,68,90,188.1089935,148.8379974,12,-1,39.2711983,0.0472959,765000,1,7,0.5,0.05,0.1,1.7893,1.883476019,1.88348,0,0,0,0,0,0,0,0,0,2
91,92,92,99,96,93,2860.660172,104,80,70.9228973,17.3862,2019,83,53.5367012,0.0187148,46597500,9,12,4.5,0.05,0.35,1.76205,1.854787707,1.85479,1,1,1,3,1,3,0,0,1,2
92,93,93,107,103,101,318.1980515,46,90,154.0319977,148.8379974,35,-1,5.1939998,0.0163232,517500,1,7,0.5,0.05,0.1,2.0781801,2.187558651,2.1875601,0,0,0,0,0,0,0,0,0,2
93,94,94,103,102,104,318.1980515,67,105,251.5619965,251.5619965,60,-1,0,0.00001,742500,1,1,0.5,0.03,0.06,1.9568,2.059793234,2.0597899,0,0,0,0,0,0,0,0,0,3
94,95,95,94,91,104,2372.056275,103,105,418.92099,251.5619965,15,-1,167.3589935,0.0705544,1147500,1,8,1,0.05,0.15,1.63948,1.725767732,1.72577,0,0,0,0,0,0,0,0,0,3
95,96,96,98,105,93,662.1320344,10,80,61.4967995,17.3862,162,116,44.1105995,0.0666191,3757500,2,8,1,0.05,0.15,1.86602,1.964231491,1.9642299,0,0,1,3,1,3,0,0,0,2
96,97,97,102,106,96,450,5,92,93.5089035,70.9228973,177,108,22.5860996,0.0501912,4027500,2,8,1,0.05,0.15,1.91737,2.018283367,2.01828,0,0,1,3,1,3,0,0,0,2
97,98,98,111,107,106,225,58,97,96.9384995,93.5089035,57,-1,3.4295599,0.0152425,652500,1,7,0.5,0.05,0.1,2.09952,2.210021257,2.2100201,0,0,0,0,0,0,0,0,0,2
98,99,99,84,109,75,1872.792206,144,59,681.1129761,626.9769897,245,118,54.1362991,0.0289067,7132500,2,8,1,0.05,0.15,1.4739,1.597965717,1.55147,0,0,0,0,0,0,0,0,0,3
99,100,100,106,110,100,600,18,89,12.9685001,12.9685001,72249,130,0,0.00001,1625810048,81,6,4.5,0.03,0.21,2.58003,2.768743515,2.7158201,1,2,1,2,1,2,1,1,1,1
100,101,101,104,111,98,1011.396103,82,86,828.8599854,548.585022,3,-1,280.2749939,0.277117,922500,1,13,0.5,0.1,0.2,1.19222,1.254963994,1.2549599,0,0,0,0,0,0,0,0,0,3
101,102,102,83,112,75,1973.528137,149,59,900.7739868,626.9769897,19,-1,273.7980042,0.138735,1665000,1,14,1,0.1,0.3,1.25336,1.31932199,1.31932,0,0,0,0,0,0,0,0,0,3
102,103,103,116,113,114,525,79,104,12.9685001,12.9685001,73,-1,0,0.00001,877500,1,1,0.5,0.03,0.06,2.1910801,2.306400061,2.3064001,1,1,1,2,1,1,1,1,0,1
103,104,104,117,114,110,212.1320344,10,100,12.9685001,12.9685001,144,103,0,0.00001,3352500,2,2,1,0.03,0.09,2.5413899,2.768743515,2.6751499,1,1,1,2,1,2,1,1,1,1
104,105,105,108,104,115,1298.528137,64,141,251.5619965,241.3679962,169,94,10.1946001,0.0078509,4522500,2,8,1,0.05,0.15,1.7001801,1.789659262,1.78966,0,0,0,0,0,0,0,0,0,3
105,106,106,82,116,74,2677.386361,159,68,944.9520264,492.8039856,32,-1,452.1480103,0.168877,1777500,1,14,1,0.1,0.3,1.3160599,1.385329247,1.38533,0,0,0,0,0,0,0,0,0,3
106,107,107,120,117,114,318.1980515,57,104,12.9685001,12.9685001,41,-1,0,0.00001,630000,1,1,0.5,0.03,0.06,2.7029901,2.845255852,2.8452599,1,1,1,2,1,1,1,1,0,1
107,108,108,112,118,106,1523.528137,120,97,122.3219986,93.5089035,12,-1,28.8129005,0.0189119,1350000,1,8,1,0.05,0.15,2.0292499,2.202637434,2.13606,0,0,0,0,0,0,0,0,0,2
108,109,109,113,108,115,2485.660172,165,141,442.927002,241.3679962,28,-1,201.5590057,0.0810888,1845000,1,8,1,0.05,0.15,1.58824,1.724119663,1.6718301,0,0,0,0,0,0,0,0,0,3
109,110,110,100,97,119,1298.528137,98,117,376.9559937,363.8110046,3215,85,13.1452999,0.0101232,73440000,16,12,4.5,0.05,0.35,1.6086,1.693262458,1.69326,0,0,0,0,0,0,0,0,0,3
110,111,111,122,120,119,675,55,117,518.0570068,363.8110046,22,-1,154.2460022,0.228513,607500,1,13,0.5,0.1,0.2,1.39452,1.898950934,1.4679101,0,0,0,0,0,0,0,0,0,3
111,112,112,105,121,98,1187.132034,80,86,842.3430176,548.585022,40,-1,293.7579956,0.247451,900000,1,13,0.5,0.1,0.2,1.22299,1.287357092,1.28736,0,0,0,0,0,0,0,0,0,3
112,113,113,110,122,105,1042.46212,70,96,137.9170074,61.4967995,5,-1,76.4201965,0.0733074,787500,1,7,0.5,0.05,0.1,1.86177,1.964231491,1.9597501,0,0,0,0,0,0,0,0,0,2
113,114,114,114,123,109,737.1320344,60,99,874.822998,681.1129761,43,-1,193.7100067,0.262789,675000,1,13,0.5,0.1,0.2,1.24972,1.315496802,1.3155,0,0,0,0,0,0,0,0,0,3
114,115,115,89,124,82,2299.264069,155,67,820.4069824,486.9890137,47,-1,333.4190063,0.145011,1732500,1,14,1,0.1,0.3,1.31493,1.384135962,1.38414,0,0,0,0,0,0,0,0,0,3
115,116,116,109,125,105,1342.46212,93,96,144.2149963,61.4967995,7,-1,82.7176971,0.0616164,1035000,1,8,1,0.05,0.15,1.78844,1.964231491,1.88257,0,0,0,0,0,0,0,0,0,2
116,117,117,121,119,128,512.1320344,17,125,363.8110046,356.9700012,3362,110,6.8407001,0.0133573,75825000,17,12,4.5,0.05,0.35,1.57497,1.657858491,1.65786,0,0,0,0,0,0,0,0,0,3
117,118,118,115,129,109,1528.858223,179,99,877.1090088,681.1129761,37,-1,195.9960022,0.128198,2002500,1,14,1,0.1,0.3,1.31494,1.384148598,1.38415,0,0,0,0,0,0,0,0,0,3
118,119,119,96,95,130,2710.660172,115,122,639.6829834,334.868988,182,82,304.8139954,0.11245,5377500,2,14,1,0.1,0.3,1.5186599,1.673955083,1.59859,0,0,0,0,0,0,0,0,0,3
119,120,120,123,126,131,861.3961031,64,129,160.0789948,150.6230011,17,-1,9.4565001,0.0109781,720000,1,7,0.5,0.05,0.1,2.0402901,2.153136969,2.14768,0,0,0,0,0,0,0,0,0,2
120,121,121,124,127,133,1104.594155,67,151,391.3009949,321.9750061,4,-1,69.3254013,0.062761,742500,1,7,0.5,0.05,0.1,1.7907701,1.898518324,1.88502,0,0,0,0,0,0,0,0,0,3
121,122,122,127,130,133,574.2640687,106,151,334.868988,321.9750061,4165,125,12.8940001,0.0224531,94905000,19,12,4.5,0.05,0.35,1.85831,2.038860559,1.95612,0,0,0,0,0,0,0,0,0,3
122,123,123,77,78,136,3659.92424,289,139,175.951004,159.3419952,58,-1,16.6086998,0.004538,3240000,1,8,1,0.05,0.15,1.6099499,1.694683313,1.69468,0,0,1,3,1,1,0,0,0,2
123,124,124,130,132,136,768.1980515,56,139,214.0679932,159.3419952,40,-1,54.7263985,0.07124,630000,1,7,0.5,0.05,0.1,1.72912,1.820126295,1.82013,0,0,1,3,1,1,0,0,0,2
124,125,125,125,128,130,3259.188309,237,122,356.9700012,334.868988,3590,117,22.1011009,0.0067812,83430000,18,12,4.5,0.05,0.35,1.59707,1.68112433,1.68112,0,0,0,0,0,0,0,0,0,3
125,126,126,128,137,92,4834.188309,426,79,99.134201,12.9685001,4,-1,86.1657028,0.0178242,4792500,1,8,1,0.05,0.15,1.94324,2.045514822,2.0455101,1,1,1,1,1,1,1,1,1,1
126,127,127,132,134,128,3634.188309,211,125,949.5269775,356.9700012,43,-1,592.5570068,0.163051,2362500,1,14,1,0.1,0.3,1.2491,1.314837575,1.31484,0,0,0,0,0,0,0,0,0,3
127,128,128,133,135,140,742.4621202,78,133,107.1190033,106.3700027,52,-1,0.7492,0.0010091,877500,1,1,0.5,0.03,0.06,1.99675,2.101842403,2.10184,0,0,1,1,0,0,0,0,0,2
128,129,129,126,131,140,2534.92424,82,133,150.6230011,106.3700027,189,132,44.2532005,0.0174574,5175000,2,8,1,0.05,0.15,1.84247,1.939438939,1.93944,0,0,1,3,1,2,0,0,0,2
129,130,130,118,141,110,2312.132034,54,100,12.9685001,12.9685001,72049,135,0,0.00001,1621709952,80,6,4.5,0.03,0.21,2.4324999,2.582178354,2.5605199,1,2,1,2,1,2,1,1,1,1
130,131,131,136,139,141,1880.330086,108,130,124.4430008,12.9685001,50,-1,111.473999,0.0592844,1215000,1,8,1,0.05,0.15,1.76238,2.044141293,1.85514,0,0,1,2,1,1,0,0,0,1
